Frame,X(cm),Y(cm)
951,33.7647,5.9139
952,33.7995,5.97961
953,33.7647,6.01246
954,33.7299,5.94675
955,33.7299,6.04532
956,33.6951,6.01246
957,33.6951,6.07817
958,33.6255,6.04532
959,33.6255,6.11103
960,33.5907,6.11103
961,33.5907,6.07817
962,33.5559,6.11103
963,33.4863,6.20959
964,33.4863,6.20959
965,33.4514,6.24245
966,33.4514,6.24245
967,33.4514,6.2753
968,33.4166,6.2753
969,33.4166,6.2753
970,33.3818,6.2753
971,33.3818,6.30816
972,33.347,6.34101
973,33.347,6.34101
974,33.2774,6.37387
975,33.2774,6.40672
976,33.2774,6.37387
977,33.2774,6.40672
978,33.2426,6.40672
979,33.2078,6.43958
980,33.2078,6.43958
981,33.1382,6.50529
982,33.1382,6.47243
983,33.1382,6.50529
984,33.1034,6.47243
985,33.0685,6.53814
986,33.0685,6.50529
987,32.9989,6.60385
988,32.9989,6.63671
989,33.1034,6.53814
990,32.9293,6.50529
991,32.8945,6.66956
992,32.8597,6.66956
993,32.8597,6.63671
994,32.7901,6.66956
995,32.7901,6.66956
996,32.7553,6.66956
997,32.7205,6.60385
998,32.6857,6.60385
999,32.6857,6.70242
1000,32.6508,6.70242
1001,32.6508,6.63671
1002,32.616,6.73527
1003,32.5812,6.73527
1004,32.5464,6.76813
1005,32.5464,6.80098
1006,32.5464,6.80098
1007,32.5464,6.76813
1008,32.5464,6.80098
1009,32.5812,6.86669
1010,32.5812,6.9324
1011,32.4768,7.03097
1012,32.3724,7.19524
1013,32.442,7.19524
1014,32.4768,7.29381
1015,32.5116,7.35952
1016,32.5812,7.35952
1017,32.5464,7.55665
1018,32.5812,7.52379
1019,32.6508,7.49094
1020,32.616,7.62236
1021,32.616,7.75378
1022,32.5812,7.85234
1023,32.5812,7.8852
1024,32.5464,7.95091
1025,32.5812,7.98376
1026,32.6508,7.8852
1027,32.6508,7.91805
1028,32.616,8.08233
1029,32.616,8.14804
1030,32.616,8.18089
1031,32.5812,8.27946
1032,32.5464,8.27946
1033,32.5812,8.31231
1034,32.616,8.34517
1035,32.5812,8.41088
1036,32.616,8.44373
1037,32.616,8.47659
1038,32.5812,8.5423
1039,32.7553,8.50944
1040,32.8597,8.50944
1041,32.8597,8.37802
1042,33.0337,8.47659
1043,33.3122,8.44373
1044,33.3818,8.37802
1045,33.347,8.31231
1046,33.4863,8.34517
1047,33.7299,8.31231
1048,33.8343,8.34517
1049,33.9388,8.34517
1050,34.0084,8.34517
1051,34.1128,8.37802
1052,34.078,8.31231
1053,34.1824,8.37802
1054,34.2172,8.34517
1055,34.4609,8.47659
1056,34.4261,8.44373
1057,34.4957,8.47659
1058,34.4957,8.44373
1059,34.635,8.50944
1060,34.6001,8.44373
1061,34.7046,8.50944
1062,34.7046,8.44373
1063,34.7742,8.50944
1064,34.8786,8.47659
1065,34.8786,8.50944
1066,34.9134,8.50944
1067,34.983,8.5423
1068,35.0179,8.5423
1069,35.0527,8.5423
1070,35.1223,8.57515
1071,35.1919,8.60801
1072,35.2615,8.60801
1073,35.2615,8.57515
1074,35.3311,8.60801
1075,35.3659,8.60801
1076,35.4008,8.60801
